17707103,15.0
17707104,16.0
17707105,17.0
17707106,18.3
17707107,17.8
17707108,17.3
17707109,16.3
17707110,15.6
17707111,15.3
17707112,15.1
17707113,15.0
17707114,14.6
17707115,14.5
17707116,14.5
17707117,14.5
17707118,14.4
17707119,14.4
17707120,14.2
17707121,14.2
17707122,14.1
17707123,14.0
17707124,14.0
17707125,13.9
17707126,13.7
17707127,14.5
17707128,16.4
17707129,18.5
17707130,21.0
17707131,22.4
17707132,22.8
17707133,23.4
17707134,23.7
17707135,23.0
17707136,22.2
17707137,19.7
17707138,17.3
17707139,16.1
17707140,15.9
17707141,15.7
17707142,15.7
17707143,15.5
17707144,15.3
17707145,15.2
17707146,15.0
17707147,14.7
17707148,14.5
17707149,14.5
17707150,14.4
17707151,14.8
17707152,16.0
17707153,17.6
17707154,19.3
17707155,21.4
17707156,20.5
17707157,19.9
17707158,20.4
17707159,20.3
17707160,19.1
17707161,17.9
17707162,16.6
17707163,15.9
17707164,15.5
17707165,15.2
17707166,15.0
17707167,14.5
17707168,14.1
17707169,14.0
17707170,13.9
17707171,13.5
17707172,13.4
17707173,13.2
17707174,13.0
17707175,15.2
17707176,18.4
17707177,20.9
17707178,22.8
17707179,24.2
17707180,24.9
17707181,25.0
17707182,24.2
17707183,23.4
